Name,First public release date,Creator,Owner or maintainer as of 2016[update],License
1981-02-25,Seattle Computer Products,Support ended,Proprietary,86-DOS 0.42
1981-04-28,86-DOS 1.00,,,
1981-08-12,Microsoft (for IBM),PC DOS 1.0,,
1982-05-??,PC DOS 1.1,,,
1983-03-??,PC DOS 2.0,,,
1983-10-??,PC DOS 2.1,,,
1984-08-??,PC DOS 3.0,,,
1985,PC DOS 3.1,,,
1986,PC DOS 3.2,,,
1987,PC DOS 3.3,,,
1988,IBM DOS 4.0(called PC DOS 4.0),,,
1991,IBM DOS 5.0(called PC DOS 5.0),,,
1993,"PC DOS 6.1, PC DOS 6.3",,,
1995,PC DOS 7.0 (revision 0),,,
1998,PC DOS 2000(PC DOS 7.0 revision 1),,,
2003,Support ended by IBM,PC DOS 7.10,,
1982,Microsoft,Support ended,"Free, MIT License","MS-DOS 1.25[1] (first version named ""MS-DOS"")"
1982-05-??,OEM Zenith Data Systems,Proprietary,Z-DOS 1.25,
1983-03-??,Microsoft,"Free, MIT License",MS-DOS 2.0,
1983-12-??,Proprietary,MS-DOS 2.11,,
1984,MS-DOS 3.0,,,
MS-DOS 3.1,,,,
1986,MS-DOS 3.2,,,
1987,MS-DOS 3.3,,,
1988,MS-DOS 4.0,,,
1991,MS-DOS 5.0,,,
1993,MS-DOS 6.0,,,
MS-DOS 6.20,,,,
1994,MS-DOS 6.21,,,
MS-DOS 6.22,,,,
1995,MS-DOS 7.0 (Windows 95A),,,
1996,"MS-DOS 7.10 (Windows 95 OSRs 2 and 2.5, 98, 98 SE)",,,
2000,Support ended by Microsoft[3],MS-DOS 8.0 (Windows ME and later)[2],,
1985,Digital Research,Support ended,"DOS Plus 1.1, 1.2/1.2a",
1986,DOS Plus 2.1,,,
1988,DR DOS 3.31-3.35,,,
1989,DR DOS 3.40-3.41,,,
1990,DR DOS 5.0,,,
1991,DR DOS 6.0,,,
1993,Novell,Novell DOS 7,,
1997,"Caldera, Inc.;Caldera UK, Ltd.","Support ended officially;a derivative, Enhanced DR-DOS, is maintained by Udo Kuhnt","Partial, free non-commercial use",Caldera OpenDOS 7.01
Support ended,Caldera DR-OpenDOS 7.02,,,
1998,Proprietary,Caldera DR-DOS 7.02,,
"1999, 1998 prereleased","Caldera Thin Clients, Inc.;Caldera UK, Ltd;Lineo, Inc.","DRDOS, Inc.",Caldera DR-DOS 7.03,
2004,DeviceLogics,Support ended,DR-DOS 8.0,
2005,"DRDOS, Inc.",DR-DOS 8.1[4],,
2006-09-03,"Jim Hall, et al.",The FreeDOS Project,"Free, GPL",FreeDOS 1.0
2012-01-02,FreeDOS 1.1,,,
2016-12-25,FreeDOS 1.2,,,
1993,PhysTechSoft[5],PhysTechSoft,Proprietary,PTS-DOS 6.4
?,PTS-DOS 6.5,,,
PTS-DOS 6.6,,,,
PTS-DOS 2000 (6.7),,,,
PTS-DOS 32 (7.0),,,,
ca. 1995,Paragon Technology Systems,Paragon Technology Systems,PTS-DOS 6.51,
?,Paragon DOS 2000 Pro,,,
Datalight,Datalight,ROM-DOS 6.22[6],,
ROM-DOS 7.1[6],,,,
General Software,General Software,Embedded DOS,,
1989,"DIP Research, Atari Corporation",Support ended,DIP DOS 2.11,
1994,Michael Podanoffsky,Support ended,"Free, GPL",RxDOS
?,"Itautec, Scopus Tecnologia",Support ended,Proprietary,SISNE plus
