Country code,Country,Speed limit on motorway (km/h),Speed limit on dual carriageway (km/h),Speed limit on single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll roads,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
 Austria,130,100,100,50,0.05,Yes,All,N/A,Yes,Yes,Recommended,No,17,Yes,A
 Albania,110,N/A,90,40,0,,Yes[1],N/A,Recommended,Recommended,Recommended,No,18,Yes,AL
 Andorra,N/A,N/A,90,50,0.05,,Front,10,Yes,Recommended,Recommended,No,18,Yes,AND
 Belgium,120,90,90 (70 in Flanders),50,0.05,No[2],All,12,Yes,Yes,Yes,No,18 (17 with supervision of parents),Yes,B
 Bulgaria,140,N/A,90,50,0.05,Yes,All,10,Yes,Yes,Yes,Yes,18,Yes,BG
 Bosnia and Herzegovina,130,100,80,50,0.03,,Yes[3],12,Yes,Yes,Recommended,Yes,18,Yes,BIH
 Belarus,110,N/A,90,60,<0.03,Yes,Yes[4],12,Yes,Yes,Yes,No,18,Yes,BY
  Switzerland,120,N/A,80 (100 on limited-access roads),50,0.05,Yes,All,,Yes,Recommended,Recommended,No,18,Yes,CH
 Cyprus,100,N/A,80,50,0.05,,All,12,"Yes, 2x",Recommended,Recommended,No,18,Yes,CY
 Czech Republic,130 (urban 80),110 (urban 80),90,50,0 (tolerated 0.02),Yes,All,,Yes,Yes,Recommended,Yes,18 (17 for B1 cars),Yes,CZ
 Germany[5],no (130 recommended),no (130 recommended),100 (no / 130 recommended with two or more lanes per direction),50,0.05,No[6],All,N/A,Yes,Yes,Recommended,No,18 (17 with supervision of >30 years old driver),No,D
 Denmark,130,N/A,80,50,0.05,Yes,All,N/A,Yes,Recommended,Recommended,No,18,Yes,DK
 Spain,120,120,90,50,0.05,Yes,All,N/A,"Yes, 2x",Recommended,Recommended,No,18,Yes,E
 Estonia,110,110,90,50,0,,All,N/A,Yes,Yes,Yes,No,18 (16 with supervision of a person with 2+ years of driving experience),Yes,EST
 France,130 (rain/wet 110),110 (rain/wet 100),80,50,0.05,Yes,All,10,Yes,Recommended,Recommended,No,18 (15 with supervision of a person with 5+ years of driving experience),Yes,F
 Finland,120[7],N/A,80,50,0.05,No,All,3,Yes,Recommended,Recommended,No,17,Yes,FIN
 Liechtenstein,N/A,N/A,80,50,0.08,,All,N/A,Yes,Yes,Recommended,No,18,Yes,FL
 United Kingdom,112,112,97,48,0.08(0.05 Scotland) ,,All,N/A,Recommended,Recommended,Recommended,No,17,Yes,GB
 Greece,130,N/A,90,50,0.05,,All,12,Yes,Yes,Yes,No,18,Yes,GR
 Hungary,130,110,90,50,0,Yes,All,12,Yes,Yes,Recommended,No,18 (17 with supervision of someone with 10+ years drive-experience),Yes,H
 Croatia,130,110,80,50,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,No,HR
 Italy,130,110,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes,I
 Ireland,120,N/A,100,50,0.05,Yes[8],All,N/A,Recommended,Recommended,Recommended,No,17,Yes,IRL
 Iceland,N/A,N/A,"paved road - 90, gravel road 80",50,0.05,,All,14,Yes,Recommended,Recommended,No,17,Yes,IS
 Luxembourg,130,N/A,90,50,0.05,,All,11,Yes,Recommended,Recommended,No,18,Yes,L
 Lithuania,130,110,90,50,0.04,,All,12,Yes,Yes,Yes,No,18,No,LT
 Latvia,N/A,90,90,50,0.05,,All,,Yes,Yes,Yes,No,18,Yes,LV
 Malta,N/A,N/A,80,50,0.08,,Yes[9],11,Recommended,Recommended,Recommended,No,18,Yes,M
 Monaco,N/A,N/A,,50,0.05,,N/A,10,Recommended,Recommended,Recommended,No,18,Yes,MC
 Moldova,N/A,N/A,90,50,0,,All,12,Yes,Yes,Yes,No,18,Yes,MD
 North Macedonia,130,N/A,80,60,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,Yes,MK
 Montenegro,120,N/A,80,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,,Yes,MNE
 Norway,110,N/A,80,50,0.02,Yes,All,N/A,Yes,Recommended,Recommended,No,18,Yes,N
 Netherlands,130,100,80,50,0.05,Yes[10],All,12,Recommended,Recommended,Recommended,No,18 (17 with supervision of someone with 5+ years drive-experience),Yes,NL
 Portugal,120,100,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes,P
 Poland,140,100 (120 on expressways),90 (100 on expressways),"50 (5–23), 60 (23–5)",0.02,Yes,All,N/A,Yes,Recommended,Yes,No,18 (16 for B1 cars),No,PL
 Romania,130,100 (110 on expressways),90,50,0,Yes,All,12,Yes,Yes,Yes,No,18 (16 for B1 cars),No,RO
 San Marino,N/A,N/A,70,50,0.08,,All,12,Recommended,Recommended,Recommended,No,18,Yes,RSM
 Russia[11],110,N/A,90,60,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes,RUS
 Sweden,110,N/A,70,50,0.02,Yes,All,N/A,Yes,Recommended,Recommended,No,18,No,S
 Slovakia,130,130,90,50,0,Yes,All,12,Yes,Yes,Recommended,Yes,18 (17 with supervision of someone with 10+ years drive-experience),Yes,SK
 Slovenia,130,100,90,50,0.05,,All,12,Yes,Yes,Recommended,No,18,Yes,SLO
 Serbia,120,100,80,50,0.03,Yes,All,12,Yes,Yes,Yes,No,18,Yes,SRB
 Turkey,120,110 (cars) / 90 (rest),90,50,0.05,Yes,All,10,Yes,Yes,Yes,No,18,Yes,TR
 Ukraine,130,110,90,50,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes,UA
Country code,Country,Speed limit on motorway (km/h),Speed limit on dual carriageway (km/h),Speed limit on single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll roads,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
