Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit[1],Interface
Daniel Stenberg,1998,7.73.0 (14 October 2020; 29 days ago (2020-10-14)[2]) [±],MIT,Yes,CLI,cURL
David V. Kocher,2001,"7.2.5 January 1, 2020; 10 months ago (2020-01-01)",GPL,Yes,GUI and CLI,Cyberduck
Eugene Roshal / FAR Group,1996,3.0 build 5665 (12 September 2020; 2 months ago (2020-09-12)) [±],BSD,Yes,TUI,FAR Manager
Community,2001 (January),3.51.0 (20 October 2020; 23 days ago (2020-10-20)) [±][3],GPL,Yes,GUI,*FileZilla
Mime Čuvalo,2004 (September),"2.0.32 (February 1, 2019; 21 months ago (2019-02-01)) [±]","MPL 1.1, Charityware",Yes (since version 2.0.5),"Waterfox, Firefox pre-version 57 addon",FireFTP
University of Michigan Research Systems Unix Group,2003,"1.2.0 May 2, 2005; 15 years ago (2005-05-02)",BSD,?,GUI,Fugu
Brian Masney,1998,"2.0.19 November 30, 2008; 11 years ago (2008-11-30)",GPL,Yes,GTK+,gFTP
Alexander V. Lukyanov,1996 (August),"4.9.1 (January 15, 2020; 9 months ago (2020-01-15)[4]) [±]",GPL,Yes,CLI,lftp
Michael Gorbach,0 ?,2.0.4,BSD,?,GUI,Macfusion
NcFTP Software Inc.,1991,"3.2.6  November 27, 2016; 3 years ago (2016-11-27)",Clarified Artistic License,Yes,CLI,NcFTP
David C. Gartner,2003 (January),"0.98 March 1, 2013; 7 years ago (2013-03-01)",GPL,?,Web application,net2ftp
Nick Craig-Wood,2014 (July),"1.53.2 October 26, 2020; 17 days ago (2020-10-26)",MIT,Yes,CLI,Rclone
Luke Mewburn,1999,"20151004 October 4, 2015; 5 years ago (2015-10-04)",BSD,Yes,CLI,tnftp
Martin Přikryl,2000,"5.17.8[5] (October 15, 2020; 28 days ago (2020-10-15)) [±]",GPL,Yes,GUI and CLI,WinSCP
