Name,Creator,First public release,Latest stable version,Latest release date,"Cost, availability",License
IBM,?,0.8.0,15 March 2018[1],Free,Apache License 2.0Eclipse Public License 2.0,Eclipse OpenJ9 (formerly IBM J9)
GNU,6 September 1998,6.4 (Terminal),4 July 2017,Free,"GPL version 2 or later, with the ""libgcc exception""[2]",GCJ
"Sun Microsystems, Oracle",27 April 1999,?,21 September 2017,Free,GPL version 2 only,"HotSpot, OpenJDK edition"
"Sun Microsystems, Oracle",27 April 1999,?,September 2017,Free,Proprietary,"HotSpot, Oracle JDK edition"
"Sun Microsystems, Oracle",27 April 1999,?,?,Commercial,Proprietary[3],"HotSpot, Java SE embedded edition"
Gary Benson[4],?,?,?,Free,GPL version 2 only,"HotSpot, Zero port"
Jeroen Frijters,28 June 2004,7.0.4335.0,5 December 2011,Free,zlib License[5],IKVM.NET
"Peter Werno, Joakim Nordström",19 May 2005[6],1.2,6 January 2014,Free,GPL version 2 or later,JAmiga
Robert Lougher,13 March 2003,2.0.0,30 July 2014,Free,GPL version 2 or later,JamVM
Pekka Enberg and contributors[7],?,0.3[8],4 January 2012[8],Free,GPL version 2 only[7],Jato VM
Archie L. Cobbs,?,1.4.7,13 November 2005,Free,LGPL version 2.1 or later,JC virtual machine
IBM,14 October 2001,3.1.4[9],18 February 2016[9],Free,Eclipse Public License version 1.0[10],Jikes RVM
Transvirtual Technologies,1996,1.1.9,22 February 2008,Free,GPL version 2 or later[11],Kaffe
?,16 April 2005[12],0.4.8[12],5 March 2010[12],Free,GPL version 2 only[12],Mysaifu JVM
Sable Research Group,?,1.13,30 March 2007[13],Free,LGPL version 2.1 or later,SableVM
